,all_loss_values,all_test_loss_values,activation,m,n,mse
0,72.24261,68.102806,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
1,61.23747,61.825974,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
2,53.19874,57.3091,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
3,47.07523,53.930008,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
4,42.245125,51.311943,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
5,38.325645,49.219864,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
6,35.07163,47.502865,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
7,32.319958,46.061398,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
8,29.958235,44.82811,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
9,27.906507,43.756256,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
10,26.106245,42.81261,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
11,24.513502,41.973,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
12,23.094543,41.219376,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
13,21.822933,40.53797,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
14,20.677595,39.918034,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
15,19.641445,39.35098,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
16,18.700457,38.829815,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
17,17.842962,38.348747,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
18,17.059155,37.902897,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
19,16.340704,37.48812,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
20,15.680489,37.100826,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
21,15.072365,36.7379,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
22,14.511007,36.39661,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
23,13.991768,36.074562,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
24,13.510572,35.76963,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
25,13.0638275,35.479935,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
26,12.648359,35.20381,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
27,12.261352,34.93976,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
28,11.900298,34.686466,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
29,11.562953,34.44275,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
30,11.247312,34.207558,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
31,10.951572,33.97995,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
32,10.674112,33.759098,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
33,10.4134655,33.54425,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
34,10.168309,33.33475,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
35,9.937443,33.130016,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
36,9.719782,32.9295,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
37,9.51433,32.732773,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
38,9.320191,32.539406,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
39,9.1365385,32.34904,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
40,8.962621,32.161343,<function cos at 0x7fc9be00a8c0>,200,300,1.1415039
