,all_loss_values,all_test_loss_values,activation,m,n,mse
0,72.24261,50.460796,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
1,61.928185,43.26962,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
2,54.14498,37.74252,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
3,48.091576,33.389256,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
4,43.25321,29.885075,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
5,39.29324,27.01048,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
6,35.986904,24.613901,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
7,33.18063,22.588295,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
8,30.766813,20.85635,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
9,28.668034,19.360964,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
10,26.827091,18.059042,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
11,25.200619,16.917429,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
12,23.754932,15.9101305,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
13,22.463318,15.016438,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
14,21.304163,14.219624,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
15,20.259726,13.5060005,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
16,19.315228,12.864247,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
17,18.458235,12.284916,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
18,17.678186,11.760055,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
19,16.966055,11.282925,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
20,16.314056,10.847788,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
21,15.715466,10.449722,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
22,15.164445,10.08449,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
23,14.655898,9.74843,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
24,14.185374,9.438366,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
25,13.748963,9.151531,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
26,13.343235,8.8855095,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
27,12.965159,8.638186,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
28,12.612069,8.407702,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
29,12.2816,8.192423,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
30,11.971659,7.9909034,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
31,11.680384,7.801867,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
32,11.4061165,7.6241846,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
33,11.147388,7.456847,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
34,10.902879,7.298962,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
35,10.6714115,7.149729,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
36,10.451931,7.0084352,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
37,10.243491,6.874442,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
38,10.0452385,6.747175,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
39,9.856407,6.6261187,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
40,9.676307,6.5108085,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
41,9.504311,6.4008245,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
42,9.339852,6.2957883,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
43,9.18242,6.1953564,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
44,9.031543,6.0992155,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
45,8.886801,6.007084,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
46,8.747803,5.9187026,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
47,8.614196,5.8338356,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
48,8.485657,5.752267,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
49,8.361887,5.6737995,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
50,8.242614,5.5982513,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
51,8.127585,5.5254574,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
52,8.016573,5.455263,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
53,7.9093585,5.3875256,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
54,7.805746,5.322116,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
55,7.7055516,5.258913,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
56,7.608607,5.197802,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
57,7.514752,5.1386824,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
58,7.4238386,5.0814548,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
59,7.3357315,5.026028,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
60,7.2503004,4.972319,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
61,7.1674266,4.9202485,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
62,7.0869956,4.8697443,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
63,7.008904,4.820734,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
64,6.933051,4.773156,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
65,6.859343,4.7269473,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
66,6.787695,4.6820507,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
67,6.71802,4.6384134,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
68,6.650243,4.5959826,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
69,6.584287,4.554712,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
70,6.520084,4.5145535,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
71,6.457567,4.475467,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
72,6.3966727,4.4374104,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
73,6.3373423,4.4003444,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
74,6.2795177,4.364233,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
75,6.223145,4.3290415,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
76,6.168173,4.2947354,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
77,6.114553,4.261284,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
78,6.0622377,4.2286572,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
79,6.011182,4.196826,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
80,5.961344,4.1657634,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
81,5.912682,4.1354427,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
82,5.8651595,4.1058397,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
83,5.8187356,4.076929,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
84,5.773377,4.048689,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
85,5.729048,4.021097,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
86,5.6857176,3.994133,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
87,5.643353,3.9677756,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
88,5.6019235,3.9420063,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
89,5.5614014,3.9168062,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
90,5.5217566,3.8921576,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
91,5.482965,3.8680437,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
92,5.4449997,3.8444476,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
93,5.407835,3.821354,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
94,5.3714476,3.7987468,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
95,5.3358154,3.7766125,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
96,5.300915,3.7549362,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
97,5.2667255,3.7337046,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
98,5.233227,3.7129047,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
99,5.200398,3.6925235,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
100,5.168221,3.6725502,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
101,5.1366773,3.6529715,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
102,5.1057487,3.6337764,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
103,5.075417,3.6149547,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
104,5.0456667,3.5964954,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
105,5.0164824,3.5783877,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
106,4.987848,3.5606232,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
107,4.9597487,3.5431914,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
108,4.932169,3.526084,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
109,4.905096,3.5092907,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
110,4.8785157,3.4928043,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
111,4.852415,3.476616,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
112,4.8267813,3.4607172,<function cos at 0x7fa199dcbc20>,200,300,0.8964519
