,all_loss_values,all_test_loss_values
0,72.24261,52.753235
1,60.48441,44.72684
2,51.500217,38.35793
3,44.512466,33.257607
4,38.99017,29.13869
5,34.563145,25.786255
6,30.968256,23.037521
7,28.015064,20.76796
8,25.563442,18.88141
9,23.508684,17.303024
10,21.77143,15.974079
11,20.290762,14.848209
12,19.019344,13.888566
13,17.920013,13.065688
14,16.96328,12.355886
15,16.125542,11.74003
16,15.387749,11.202578
17,14.734401,10.730853
18,14.152804,10.314472
19,13.632488,9.944889
20,13.164773,9.615041
21,12.742407,9.319073
22,12.359316,9.052107
23,12.010376,8.810072
24,11.691251,8.589547
25,11.3982525,8.387661
26,11.128231,8.20198
27,10.878487,8.030449
28,10.646692,7.87132
29,10.430847,7.7230988
30,10.229208,7.5845103
31,10.040268,7.4544597
32,9.862707,7.3320036
33,9.69538,7.2163296
34,9.537273,7.106732
35,9.3875,7.0026
36,9.245283,6.9033995
37,9.109931,6.808665
38,8.980831,6.717989
39,8.857446,6.6310143
40,8.73929,6.5474257
41,8.625937,6.4669433
42,8.517005,6.3893213
43,8.412148,6.3143425
44,8.311064,6.2418103
45,8.213471,6.1715517
46,8.119128,6.1034117
47,8.02781,6.037249
48,7.9393115,5.9729404
49,7.8534536,5.910372
50,7.7700715,5.84944
51,7.6890154,5.7900558
52,7.6101465,5.732131
53,7.5333424,5.6755915
54,7.4584904,5.620367
55,7.3854856,5.5663934
56,7.3142357,5.513612
57,7.2446523,5.4619694
58,7.1766543,5.411414
59,7.11017,5.361903
60,7.045131,5.313393
61,6.9814744,5.265843
62,6.9191422,5.219218
63,6.858082,5.173483
64,6.798241,5.128607
65,6.7395744,5.084559
66,6.682039,5.041312
67,6.625595,4.998841
68,6.5702033,4.957118
69,6.5158296,4.916123
70,6.462439,4.875832
71,6.4100013,4.836226
72,6.3584867,4.797284
73,6.3078666,4.7589874
74,6.2581162,4.7213197
75,6.2092104,4.6842628
76,6.161124,4.6477995
77,6.113837,4.611917
78,6.0673246,4.5766006
79,6.02157,4.5418334
80,5.9765525,4.5076046
81,5.9322543,4.4739003
82,5.888656,4.440709
83,5.8457427,4.4080186
84,5.803496,4.375816
85,5.7619033,4.344093
86,5.720948,4.312835
87,5.680615,4.2820363
88,5.6408916,4.251685
89,5.6017647,4.2217712
90,5.563222,4.1922865
91,5.5252485,4.1632223
92,5.487836,4.134568
93,5.45097,4.1063175
94,5.41464,4.0784616
95,5.3788366,4.050993
96,5.3435483,4.023903
97,5.308765,3.9971855
98,5.2744765,3.9708333
99,5.240675,3.9448388
100,5.207349,3.9191957
101,5.1744914,3.8938968
102,5.1420913,3.8689368
103,5.1101427,3.8443086
104,5.0786357,3.8200073
105,5.047563,3.796025
106,5.0169163,3.7723567
107,4.986688,3.7489986
108,4.956871,3.7259429
109,4.927458,3.703186
110,4.898442,3.6807215
111,4.8698153,3.658545
112,4.8415728,3.6366508
113,4.8137064,3.615035
114,4.78621,3.593693
115,4.759078,3.5726197
116,4.732304,3.5518095
117,4.705882,3.5312603
118,4.6798058,3.5109663
119,4.6540704,3.4909236
120,4.6286693,3.4711297
121,4.6035976,3.4515772
122,4.5788503,3.4322643
123,4.5544205,3.413188
124,4.530305,3.3943424
125,4.5064983,3.3757255
126,4.482995,3.3573325
127,4.459791,3.3391612
128,4.4368806,3.3212075
129,4.4142594,3.3034675
130,4.391925,3.2859385
131,4.369869,3.268617
132,4.3480906,3.2515004
133,4.3265834,3.2345848
134,4.3053446,3.2178674
135,4.28437,3.2013454
136,4.263654,3.1850152
137,4.243194,3.1688752
138,4.2229857,3.1529217
139,4.203026,3.1371522
140,4.1833105,3.1215637
141,4.1638355,3.106154
142,4.1445975,3.0909197
143,4.125593,3.0758588
144,4.1068187,3.0609689
145,4.088272,3.0462472
146,4.0699477,3.031692
147,4.0518446,3.0172997
148,4.033957,3.0030687
149,4.016284,2.9889967
150,3.9988213,2.9750817
151,3.9815662,2.9613204
152,3.9645157,2.9477124
153,3.9476676,2.9342535
154,3.9310176,2.9209428
155,3.9145634,2.9077787
156,3.8983033,2.894758
157,3.882232,2.881879
158,3.8663492,2.8691404
159,3.8506517,2.8565397
160,3.8351364,2.8440754
161,3.8198006,2.8317454
162,3.8046432,2.8195477
163,3.7896595,2.8074806
164,3.7748482,2.7955427
165,3.7602072,2.783732
166,3.745734,2.7720466
167,3.7314258,2.760485
168,3.7172804,2.7490454
169,3.7032964,2.7377267
170,3.689471,2.7265265
171,3.6758013,2.715444
