,all_loss_values,all_test_loss_values
0,72.24261,43.63465
1,62.896614,38.81849
2,55.439037,34.90873
3,49.388756,31.685804
4,44.409702,28.9928
5,40.261326,26.715229
6,36.767593,24.76801
7,33.797043,23.086864
8,31.24972,21.622515
9,29.04844,20.336699
10,27.132792,19.199347
11,25.454895,18.18658
12,23.976435,17.279253
13,22.666449,16.461868
14,21.499718,15.721784
15,20.455534,15.048589
16,19.516788,14.433669
17,18.669247,13.869816
18,17.900997,13.350981
19,17.202011,12.872034
20,16.563814,12.428612
21,15.97919,12.0169735
22,15.441968,11.633886
23,14.946862,11.276564
24,14.489304,10.94256
25,14.065337,10.629744
26,13.671525,10.336237
27,13.304862,10.060378
28,12.962719,9.8006935
29,12.64278,9.55587
30,12.343004,9.32473
31,12.061582,9.10622
32,11.79691,8.89939
33,11.547557,8.703383
34,11.312244,8.51742
35,11.089835,8.340794
36,10.879298,8.172864
37,10.679712,8.013043
38,10.490243,7.860794
39,10.310139,7.7156243
40,10.138716,7.5770826
41,9.975358,7.4447527
42,9.819501,7.3182554
43,9.670632,7.197231
44,9.528284,7.0813584
45,9.392026,6.9703298
46,9.26147,6.8638697
47,9.136251,6.761716
48,9.016043,6.663628
49,8.900541,6.5693784
50,8.789461,6.478759
51,8.682548,6.391576
52,8.579561,6.3076453
53,8.480278,6.226798
54,8.384496,6.1488743
55,8.29202,6.0737247
56,8.202678,6.001211
57,8.1163025,5.9312015
58,8.03274,5.863574
59,7.9518476,5.7982135
60,7.8734927,5.735011
61,7.7975497,5.673865
62,7.7239013,5.614681
63,7.6524396,5.557366
64,7.58306,5.5018377
65,7.5156674,5.4480143
66,7.4501724,5.39582
67,7.386487,5.3451858
68,7.3245344,5.2960415
69,7.2642365,5.2483244
70,7.2055264,5.201974
71,7.1483326,5.156934
72,7.0925946,5.1131477
73,7.038251,5.070566
74,6.9852467,5.029141
75,6.933528,4.9888244
76,6.883044,4.949574
77,6.833746,4.9113474
78,6.7855883,4.8741055
79,6.738529,4.8378105
80,6.6925273,4.8024254
81,6.647543,4.7679186
82,6.6035404,4.734256
83,6.560483,4.7014074
84,6.518338,4.6693435
85,6.477073,4.6380353
86,6.436658,4.607457
87,6.3970633,4.577583
88,6.3582625,4.548388
89,6.320228,4.5198493
90,6.2829347,4.4919457
91,6.246359,4.464654
92,6.2104774,4.437955
93,6.175267,4.4118285
94,6.14071,4.3862567
95,6.1067824,4.3612213
96,6.0734673,4.3367047
97,6.0407453,4.3126917
98,6.008599,4.289165
99,5.97701,4.266111
100,5.945964,4.243514
101,5.915444,4.2213616
102,5.8854356,4.199639
103,5.8559237,4.1783333
104,5.8268957,4.157433
105,5.7983365,4.1369267
106,5.770236,4.1168017
107,5.7425785,4.097048
108,5.715354,4.077655
109,5.6885514,4.058612
110,5.662158,4.039909
111,5.6361656,4.0215373
112,5.6105623,4.0034876
113,5.5853386,3.9857519
114,5.560485,3.96832
115,5.5359926,3.9511862
116,5.5118523,3.9343405
117,5.488055,3.9177759
118,5.4645944,3.9014852
119,5.44146,3.8854623
120,5.418647,3.8696992
121,5.3961453,3.8541894
122,5.3739495,3.838927
123,5.352051,3.823906
124,5.330445,3.8091195
125,5.3091235,3.794563
126,5.2880816,3.7802298
127,5.2673116,3.7661154
128,5.246808,3.7522135
129,5.226567,3.7385209
130,5.20658,3.7250304
131,5.1868443,3.71174
