,all_loss_values,all_test_loss_values,activation,m,n,mse
0,72.24261,42.769512,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
1,53.99481,36.566494,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
2,45.569553,32.080563,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
3,40.34984,29.226034,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
4,36.728733,26.986654,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
5,34.013145,25.271006,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
6,31.849873,23.825035,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
7,30.046432,22.595747,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
8,28.492758,21.507818,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
9,27.122986,20.534452,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
10,25.895779,19.648973,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
11,24.783863,18.837587,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
12,23.768324,18.088593,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
13,22.835386,17.394228,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
14,21.974585,16.748125,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
15,21.177645,16.145386,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
16,20.437828,15.581886,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
17,19.749502,15.054179,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
18,19.107864,14.559278,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
19,18.508747,14.094558,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
20,17.948498,13.657683,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
21,17.423874,13.246564,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
22,16.931984,12.8593,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
23,16.470226,12.494168,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
24,16.036251,12.14959,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
25,15.62793,11.824124,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
26,15.243322,11.516437,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
27,14.880664,11.225307,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
28,14.538335,10.949608,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
29,14.214862,10.688296,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
30,13.908887,10.440409,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
31,13.619164,10.205055,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
32,13.344546,9.981412,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
33,13.0839815,9.768718,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
34,12.836502,9.566266,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
35,12.601212,9.373398,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
36,12.377285,9.189508,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
37,12.163963,9.014033,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
38,11.960544,8.84645,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
39,11.766374,8.686273,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
40,11.580857,8.5330515,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
41,11.403439,8.386365,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
42,11.2336035,8.245827,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
43,11.070878,8.1110735,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
44,10.914822,7.981767,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
45,10.765026,7.857594,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
46,10.621113,7.738266,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
47,10.482733,7.623507,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
48,10.349559,7.5130653,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
49,10.22129,7.406706,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
50,10.097643,7.3042054,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
51,9.978363,7.205362,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
52,9.863201,7.1099796,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
53,9.751934,7.017882,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
54,9.644354,6.9288993,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
55,9.540261,6.8428745,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
56,9.439476,6.759662,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
57,9.341827,6.6791244,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
58,9.247157,6.6011314,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
59,9.155317,6.525563,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
60,9.066171,6.4523063,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
61,8.979585,6.381254,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
62,8.89544,6.312307,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
63,8.813623,6.245371,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
64,8.734031,6.180357,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
65,8.656558,6.1171823,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
66,8.581117,6.055769,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
67,8.507616,5.9960427,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
68,8.435976,5.9379344,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
69,8.366116,5.881378,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
70,8.297966,5.8263116,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
71,8.231459,5.772677,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
72,8.166525,5.7204185,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
73,8.103107,5.6694818,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
74,8.041147,5.6198196,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
75,7.9805923,5.5713844,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
76,7.921388,5.5241313,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
77,7.8634896,5.4780173,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
78,7.806848,5.433003,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
79,7.75142,5.3890495,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
80,7.6971655,5.3461213,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
81,7.6440454,5.3041835,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
82,7.59202,5.263201,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
83,7.541057,5.223146,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
84,7.4911213,5.183987,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
85,7.442181,5.145695,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
86,7.3942056,5.1082425,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
87,7.3471665,5.0716043,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
88,7.3010345,5.0357547,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
89,7.2557845,5.00067,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
90,7.21139,4.9663286,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
91,7.1678286,4.9327064,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
92,7.125075,4.8997846,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
93,7.083107,4.867542,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
94,7.0419035,4.8359585,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
95,7.0014453,4.805017,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
96,6.9617124,4.7746997,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
97,6.9226837,4.744988,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
98,6.884343,4.7158666,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
99,6.8466725,4.6873193,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
100,6.8096557,4.659331,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
101,6.7732773,4.6318874,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
102,6.737518,4.6049733,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
103,6.7023664,4.5785766,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
104,6.6678066,4.5526824,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
105,6.633824,4.5272784,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
106,6.600407,4.5023527,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
107,6.5675416,4.477894,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
108,6.535213,4.45389,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
109,6.5034127,4.43033,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
110,6.472125,4.4072022,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
111,6.441341,4.3844976,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
112,6.41105,4.362205,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
113,6.3812385,4.3403163,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
114,6.351899,4.31882,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
115,6.323019,4.2977085,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
116,6.2945905,4.2769737,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
117,6.266603,4.256604,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
118,6.239047,4.2365932,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
119,6.211914,4.216933,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
120,6.1851954,4.197615,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
121,6.1588817,4.1786327,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
122,6.1329665,4.1599774,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
123,6.107439,4.141642,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
124,6.0822935,4.123621,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
125,6.057522,4.105906,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
126,6.0331163,4.088491,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
127,6.0090704,4.071369,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
128,5.9853764,4.0545344,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
129,5.962027,4.037981,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
130,5.9390173,4.0217032,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
131,5.9163394,4.005694,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
132,5.893986,3.9899495,<function cos at 0x7ff017ecccb0>,200,300,1.9079437
