,all_loss_values,all_test_loss_values,activation,m,n,mse
0,72.24261,49.807877,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
1,59.533386,41.516464,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
2,50.176105,35.293888,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
3,43.127316,30.538025,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
4,37.704735,26.840376,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
5,33.45242,23.918673,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
6,30.059004,21.57444,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
7,27.30734,19.665863,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
8,25.042938,18.090076,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
9,23.153906,16.771498,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
10,21.557856,15.6539,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
11,20.193243,14.695016,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
12,19.013504,13.862762,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
13,17.983007,13.132572,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
14,17.07422,12.48548,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
15,16.26566,11.906734,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
16,15.5404415,11.384777,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
17,14.885176,10.910491,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
18,14.289168,10.476623,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
19,13.743821,10.0773735,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
20,13.242163,9.708065,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
21,12.778501,9.364894,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
22,12.348158,9.044745,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
23,11.947253,8.745052,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
24,11.572551,8.46367,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
25,11.221325,8.198803,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
26,10.891264,7.94893,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
27,10.580394,7.7127447,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
28,10.287017,7.489127,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
29,10.009655,7.277102,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
30,9.747024,7.0758114,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
31,9.497988,6.8845,<function cos at 0x7f92e3825cb0>,200,300,0.8390947
