,all_loss_values,all_test_loss_values
0,72.24261,44.538628
1,71.4658,44.131317
2,70.59683,43.746735
3,69.68741,43.354237
4,68.7027,43.013657
5,67.6458,42.679394
6,66.568825,42.42122
7,65.41545,42.14139
8,64.29514,41.824112
9,62.95026,41.432316
10,61.62644,40.94532
11,60.36759,40.333935
12,59.009186,39.738934
13,57.44888,38.99954
14,56.240936,38.389477
15,54.535522,37.477673
16,53.00075,36.501743
17,51.52018,35.354454
18,50.044632,34.12565
19,48.664047,33.25531
20,47.327824,32.26663
21,46.2647,31.154858
22,45.11386,30.228832
23,44.441833,29.381325
24,43.709457,28.767477
25,43.07926,28.5768
26,43.200897,28.604433
27,43.5809,29.081963
28,44.335083,29.542982
29,44.948807,30.002373
30,45.89869,31.15636
31,46.930088,32.256863
32,47.352383,33.002846
33,49.499134,33.83339
34,51.326294,35.08706
35,52.393436,36.463795
36,54.625637,37.891487
37,56.13422,38.660633
38,60.089336,41.12617
39,63.151505,44.129456
40,64.11747,46.379776
41,67.527954,50.334034
42,71.44782,55.7323
43,74.550674,58.36692
44,77.125916,60.133644
45,79.465385,64.373405
46,81.168045,66.381485
47,83.76808,67.462906
48,85.76446,68.75059
49,87.56251,69.30576
50,88.07469,71.87628
51,88.82981,73.884155
52,92.156525,75.159195
53,93.06463,75.80152
54,94.00224,75.613785
55,97.09605,74.72164
56,98.57865,75.82864
57,102.19192,76.751945
58,102.99183,78.12555
59,106.03053,78.77948
60,109.26443,80.30762
61,111.271614,80.56918
62,115.22697,81.495995
63,116.42233,79.99826
64,116.36811,80.04593
65,116.86172,82.25893
66,117.74383,81.78613
67,117.67709,79.982605
68,115.80664,80.230736
69,113.49526,78.589584
70,112.296005,76.745995
71,109.97237,75.45714
72,105.694115,73.77211
73,102.88625,72.89819
74,99.49282,71.972755
75,98.08466,70.4607
76,95.77176,71.22995
77,93.35407,70.68667
78,90.71753,70.23683
79,86.844284,69.613594
80,85.04228,67.24982
81,82.16324,63.57776
82,79.307594,59.255337
83,77.837265,54.78442
84,75.13382,52.5852
85,72.61434,49.494873
86,72.02441,46.68682
87,69.757744,46.696056
88,68.30647,43.314163
89,68.32326,42.941467
90,67.72348,42.692898
91,68.60816,41.88236
92,70.93794,42.05862
93,72.92442,45.36056
94,72.80717,45.60082
95,74.7097,45.72298
96,76.098656,48.61163
97,76.890816,51.818268
98,78.42379,55.15215
99,79.98254,60.160854
100,81.540596,65.57559
101,83.05381,73.3057
102,87.80619,76.83717
103,90.775154,81.44595
104,93.05674,84.690285
105,95.58267,86.47565
106,101.15223,85.59576
107,102.2737,84.0726
108,103.05128,82.7961
109,101.563835,82.508965
110,100.456955,78.25384
111,100.81123,74.27923
112,99.751915,72.0417
113,96.31558,69.57342
114,93.03709,66.36864
115,91.875,63.255306
116,90.75117,61.669094
117,87.84576,60.827297
118,87.12807,59.771667
119,83.62497,58.576626
120,79.96235,55.74311
121,78.06445,55.936836
122,76.68722,55.594322
123,73.68831,52.13819
124,73.24506,52.664585
125,70.477684,54.582905
126,70.469345,52.062912
127,72.54668,50.01519
128,72.75531,48.09194
129,73.70026,46.662346
130,72.657585,43.466187
131,72.46083,39.622044
132,67.40618,37.034355
133,62.14006,33.811806
134,56.730064,32.11335
135,52.919483,30.747305
136,48.564213,32.458397
137,45.766056,31.594727
138,42.071342,29.541887
139,42.60457,30.275612
140,40.329403,28.087309
141,39.077003,25.87959
142,37.667904,23.790026
143,38.741577,21.48407
144,37.305687,21.105898
145,38.0337,19.650805
146,38.698788,20.717684
147,41.724026,24.353443
148,45.733707,25.872366
149,50.78465,31.375902
150,57.515957,38.92341
151,63.07196,42.330364
152,68.051605,45.906094
153,77.79245,54.135834
154,81.21056,60.31098
155,89.666504,68.12892
156,98.28911,69.289024
157,105.44577,69.51325
158,113.77058,71.96857
159,120.19135,74.181625
160,128.69234,85.931854
161,142.77686,101.40102
162,146.28499,109.84159
163,149.83328,120.00387
164,167.11891,137.33055
165,177.18561,148.97337
166,187.85701,157.56723
167,201.21759,169.47807
168,207.10542,172.77284
169,215.65665,172.32129
170,225.28143,177.81271
171,226.9996,171.45131
172,237.15274,187.17567
173,239.1522,195.95552
174,238.10661,204.53786
175,239.37872,211.9965
176,238.74783,207.16806
177,232.21275,205.67973
178,222.59448,193.90515
179,216.13545,175.59637
180,206.04056,156.78123
181,191.9699,131.93085
182,174.34981,109.34426
183,163.43776,90.26262
184,150.80357,77.1146
185,139.03014,65.90077
186,121.37392,54.240208
187,110.73095,47.94892
188,103.184456,44.71907
189,92.47849,38.940495
190,85.4438,36.010803
191,75.88132,31.425768
192,68.61766,28.213623
193,59.81071,25.81698
194,52.317127,24.554335
195,47.531982,23.633736
196,46.85153,24.189692
197,50.67614,27.924072
198,54.704155,31.162714
199,56.659042,35.689465
200,57.518944,39.08053
201,57.96679,39.994774
202,58.555405,38.54209
203,52.46916,36.337627
204,49.160755,33.25166
205,43.072315,30.588867
206,38.509468,29.755325
207,34.414787,28.557438
208,32.35154,28.273655
209,31.44512,26.751186
210,30.30483,27.162254
211,28.776855,25.708569
212,26.25622,24.216145
213,26.895594,21.978655
214,24.853228,19.74125
215,24.155067,19.248472
216,23.435919,20.930754
217,25.078926,22.684309
218,28.529247,26.268583
219,31.477428,29.551256
220,35.994152,31.931755
221,41.71119,36.861874
222,49.132614,41.236496
223,55.07875,43.52364
224,57.514347,43.82865
225,60.29155,46.57668
226,64.07739,49.129536
227,73.90214,51.440495
228,80.393005,53.974304
229,82.82988,57.04836
230,88.93997,61.65237
231,87.95496,62.560112
232,87.57614,68.11743
233,93.89947,70.48293
234,106.03138,80.14603
235,108.825584,86.84613
236,111.116066,86.76965
237,114.826485,92.45724
238,110.49514,93.011536
239,117.77672,95.14961
240,128.49055,99.45263
241,138.05153,105.61721
242,139.84915,111.39164
243,138.2923,117.49758
244,150.28406,132.89737
245,154.78058,162.16226
246,163.81516,163.1535
247,161.67094,164.99759
248,160.05399,168.59953
249,179.08917,163.91914
250,186.96622,159.83841
251,179.99281,148.96902
252,181.74986,142.33473
253,186.81693,140.54478
254,193.17354,128.97484
255,188.37639,125.32031
256,179.52115,115.60495
257,181.55713,108.9257
258,191.48935,115.85849
259,181.3375,115.978645
260,170.83287,112.25516
261,170.25449,110.501976
262,166.30492,105.67225
263,160.99425,95.05404
264,148.72838,85.00102
265,145.82532,72.20187
266,144.94633,65.52204
267,139.51192,69.31883
268,145.63657,65.43283
269,143.41077,70.679665
270,136.5716,79.34284
271,131.46252,79.98561
272,124.521965,80.93819
273,125.02172,83.73698
274,126.580795,97.20149
275,118.921455,102.466324
276,110.0417,96.82793
277,100.347084,95.40111
278,85.09272,89.643234
279,84.0386,81.66471
280,79.797516,78.25303
281,78.74985,79.26981
282,76.72811,77.70816
283,86.336266,79.709274
284,91.327675,81.51958
285,98.443535,85.20888
286,106.77739,84.58752
287,113.52878,82.27014
288,121.25844,78.64033
289,133.60864,85.91378
290,146.92442,92.424805
291,163.17822,102.4754
292,181.02551,124.17048
293,207.04022,148.37962
294,232.13484,161.40065
295,256.6447,187.96147
296,271.31433,192.44034
297,291.10028,194.64418
298,301.78195,211.79
299,305.83194,238.32742
300,299.0877,229.4681
301,296.77707,206.63521
302,290.49527,210.72342
303,273.8487,208.56946
304,247.66978,186.25978
305,226.71071,166.25427
306,196.64919,156.87422
307,172.08875,130.80641
308,148.14963,104.99767
309,128.4441,79.94271
310,113.33798,66.50839
311,100.00008,51.255634
312,85.24449,41.392735
313,72.20976,34.749924
314,67.237724,35.312515
315,60.657272,38.352245
316,65.31307,44.578434
317,61.428555,48.741352
318,60.776608,54.2001
319,62.984165,61.92095
320,64.4286,67.70993
321,68.8339,69.720924
322,70.41656,75.12573
323,77.64913,73.351036
324,80.62298,73.87818
325,80.54089,71.76562
326,86.08988,65.03255
327,84.656944,65.21199
328,90.394806,61.75487
329,93.78299,57.129055
330,97.634056,52.85841
331,98.30592,51.54083
332,102.96776,46.4274
333,108.950615,49.286186
334,115.25134,54.471848
335,123.17866,57.98638
336,132.03314,57.084354
337,139.0415,59.172703
338,135.95741,60.58253
339,134.83633,63.323074
340,127.69618,64.91127
341,123.992256,65.17045
342,118.128204,71.07193
343,103.89953,74.666824
344,93.976814,80.61504
345,87.8542,81.79695
346,82.38293,86.87185
347,78.9827,91.76021
348,77.250175,92.68029
349,80.45042,90.20038
350,83.54468,90.62545
351,83.62277,90.28926
352,81.957,91.38978
353,82.995224,90.843376
354,85.41012,87.30488
355,88.49106,84.234
356,95.45996,81.013695
357,98.75604,77.348595
358,102.401146,70.950195
359,105.147644,64.33273
360,106.6125,61.12174
361,106.92694,58.253704
362,106.42492,56.133446
363,107.31675,55.38328
364,106.47851,54.619343
365,109.971054,53.03695
366,111.79432,53.363373
367,108.13904,54.349415
368,101.7753,53.218616
369,100.36051,53.92575
370,96.852165,58.065575
371,93.73631,63.36857
372,99.93422,75.1351
373,101.62767,87.69243
374,103.95099,105.666084
375,103.84393,119.982796
376,108.01746,131.72498
377,101.96326,130.6175
378,106.12931,132.45908
379,117.74082,128.41632
380,123.36969,127.754585
381,121.46897,126.77974
382,116.04094,135.58603
383,114.054,134.22186
384,109.51853,129.46167
385,105.02173,120.78474
386,99.26787,116.84746
387,94.86672,109.611786
388,95.41046,103.476555
389,95.266335,94.31027
390,92.35456,87.12955
391,89.70143,81.14501
392,86.12809,74.76152
393,84.99409,70.89353
394,83.723175,64.41783
395,82.44834,60.548782
396,79.871895,56.837036
397,77.15366,51.912865
398,76.514694,49.02091
399,77.42919,48.548557
400,77.83073,47.595253
401,74.21482,48.648876
402,72.86044,46.419853
403,71.72259,44.49746
404,69.30565,42.92746
405,67.23803,42.654133
406,63.350864,43.550198
407,61.57995,44.82165
408,61.42261,43.833168
409,60.79125,44.11398
410,60.434937,42.133175
411,58.783607,39.40034
412,55.421284,36.1415
413,54.049843,35.0698
414,50.186573,32.03894
415,46.675514,30.27605
416,44.127445,28.96396
417,41.813824,27.55748
418,39.99599,26.505785
419,37.38096,26.60435
420,36.267002,26.759933
421,37.61332,28.110922
422,37.802155,29.883535
423,39.607994,31.024769
424,43.393574,34.667053
425,47.937504,39.063908
426,54.114414,44.38011
427,65.42364,48.77432
428,72.54617,52.295414
429,81.63366,57.060833
430,95.9093,59.580177
431,100.327324,72.72947
432,111.7022,78.47938
433,123.49543,84.0728
434,137.71101,90.93828
435,152.54541,112.0678
436,154.32063,128.67924
437,161.61105,147.15166
438,173.10562,159.24794
439,187.30486,164.29553
440,188.92412,168.52757
441,187.72743,174.56374
442,193.60262,174.62238
443,186.89325,177.37714
444,185.41077,178.20045
445,178.4213,170.45226
446,169.76146,163.881
447,166.07512,148.39981
448,155.822,141.54216
449,149.51271,133.63148
450,148.87175,128.15327
451,140.10324,132.00488
452,135.10817,140.23541
453,129.8168,130.2337
454,136.23643,122.88431
455,138.97054,114.68474
456,135.25197,109.54844
457,136.00487,102.98297
458,136.14932,103.27039
459,144.04881,94.97074
460,152.1313,96.03426
461,150.97113,104.532
462,157.5259,114.90509
463,164.48761,120.227394
464,170.63148,127.7785
465,168.10269,133.99776
466,169.248,129.8715
467,169.27971,128.13028
468,171.74614,141.97993
469,182.0147,146.20947
470,177.63834,155.16943
471,183.31956,163.97502
472,179.06177,159.4668
473,202.65656,175.42581
474,220.38425,184.05855
475,229.2472,176.17091
476,231.48714,175.97476
477,227.41347,167.74599
478,227.75195,153.59814
479,218.57802,151.00705
480,203.79485,144.63837
481,180.5653,140.17801
482,168.51825,120.44962
483,161.45827,110.769905
484,144.92923,101.829636
485,135.20401,90.92258
486,122.034065,77.20168
487,106.348526,70.56568
488,99.45008,64.12917
489,89.86533,57.189915
490,82.00428,47.831055
491,76.32001,46.20382
492,67.204834,38.983234
493,65.3317,35.323418
494,62.205494,37.97194
495,60.73102,40.86273
496,63.40204,42.558678
497,63.075546,48.83742
498,65.11431,48.9825
499,68.11835,54.48758
500,75.8842,54.558083
501,79.84867,55.337696
502,85.77883,55.920807
503,88.01264,55.41011
504,99.37824,62.00233
505,104.18723,69.66358
506,105.02676,72.941826
507,106.32536,76.03634
508,99.38362,84.7372
509,101.12942,88.45865
510,99.76508,89.24975
511,100.552284,87.96169
512,103.26936,96.59237
513,117.27493,97.75779
514,115.226395,101.54248
515,114.79561,114.63423
516,121.663284,122.88108
517,123.05708,128.275
518,119.90594,120.71409
519,130.98335,124.49851
520,132.7857,116.74519
521,138.42285,107.82131
522,137.07162,101.62409
523,142.48984,97.7103
524,136.94258,101.416794
525,123.90684,97.470505
526,116.13272,89.335106
527,111.323975,88.669754
528,103.669586,87.72094
529,85.552986,78.28223
530,78.11499,67.577675
531,66.90925,59.526672
532,59.958035,52.278244
533,54.131447,49.97844
534,51.36435,46.053757
535,54.43976,36.704792
536,53.431362,32.78685
537,50.0502,28.679632
538,45.52464,27.893974
539,44.29896,26.138027
540,41.577847,25.084414
541,40.08241,24.771349
542,38.422443,23.459953
543,35.785522,24.45313
544,38.206223,24.195684
545,38.008556,22.650028
546,39.07339,22.7625
547,42.077805,25.875498
548,46.284863,27.25359
549,50.819637,29.00417
550,54.953087,31.328535
551,57.96687,33.63944
