,all_loss_values,all_test_loss_values
0,102.0728,19.376425
1,101.939064,19.39043
2,101.79138,19.403614
3,101.62733,19.416166
4,101.44618,19.428064
5,101.24753,19.43932
6,101.0311,19.449976
7,100.79665,19.46009
8,100.54399,19.469719
9,100.27281,19.478779
10,99.98295,19.487432
11,99.674446,19.495901
12,99.34744,19.504255
13,99.00216,19.512514
14,98.63885,19.521114
15,98.25781,19.530367
16,97.85935,19.53997
17,97.4438,19.549805
18,97.01159,19.559767
19,96.56325,19.569592
20,96.099434,19.57942
21,95.62083,19.589561
22,95.12814,19.599932
23,94.622086,19.610645
24,94.10337,19.621553
25,93.572655,19.632555
26,93.03066,19.644497
27,92.47806,19.656822
28,91.91546,19.66858
29,91.34344,19.680132
30,90.76271,19.69131
31,90.174065,19.702608
32,89.57848,19.714426
33,88.97706,19.72635
34,88.37093,19.738218
35,87.76121,19.748983
36,87.14897,19.758816
37,86.53516,19.768639
38,85.920525,19.779276
39,85.305664,19.791182
40,84.69095,19.803686
41,84.07673,19.816233
42,83.46314,19.828928
43,82.85036,19.841314
44,82.238556,19.854534
45,81.628,19.86918
46,81.019005,19.885323
47,80.41195,19.902998
48,79.8072,19.921104
49,79.20521,19.940565
50,78.60639,19.960094
51,78.01106,19.979069
52,77.4195,19.99722
53,76.83192,20.015818
54,76.24849,20.035421
55,75.66932,20.05623
56,75.094475,20.078697
57,74.52406,20.101208
58,73.958206,20.12442
59,73.397026,20.146816
60,72.840706,20.169527
61,72.28947,20.191431
62,71.743546,20.214796
63,71.20312,20.239534
64,70.6683,20.264635
65,70.139084,20.291649
66,69.61546,20.319973
67,69.09738,20.349518
68,68.58481,20.380663
69,68.07769,20.41213
70,67.576004,20.44364
71,67.0798,20.47564
72,66.58918,20.506311
73,66.10417,20.538382
74,65.624794,20.571192
75,65.15103,20.604248
76,64.68289,20.638508
77,64.22033,20.670935
78,63.763256,20.702766
79,63.31159,20.732248
80,62.865276,20.758968
81,62.42425,20.783606
82,61.9885,20.805246
83,61.558,20.82643
84,61.13278,20.846249
85,60.712833,20.866093
86,60.298138,20.884302
87,59.88861,20.902103
88,59.484177,20.920439
89,59.08474,20.939888
90,58.690235,20.961842
91,58.300602,20.983498
92,57.915794,21.006096
93,57.53575,21.02669
94,57.160423,21.04658
95,56.789753,21.066395
96,56.42366,21.084421
97,56.06209,21.103481
98,55.704964,21.12092
99,55.352222,21.139994
100,55.00382,21.155634
101,54.659683,21.173174
102,54.31976,21.191751
103,53.98396,21.205956
104,53.652206,21.224897
105,53.32444,21.242481
106,53.000595,21.25896
107,52.6806,21.274923
108,52.36442,21.29239
109,52.051983,21.310766
110,51.743214,21.326698
111,51.438038,21.344912
112,51.136395,21.361677
113,50.8382,21.379168
114,50.5434,21.396168
115,50.25193,21.412466
116,49.96371,21.431664
117,49.678703,21.449575
118,49.396812,21.468273
119,49.117992,21.490026
120,48.84218,21.507208
121,48.569298,21.530281
122,48.29931,21.548496
123,48.032146,21.570662
124,47.767742,21.588099
125,47.50604,21.610157
126,47.246994,21.629812
127,46.990543,21.6498
128,46.736637,21.668781
129,46.485218,21.691698
130,46.23623,21.712244
131,45.98962,21.732597
132,45.745346,21.756573
133,45.503345,21.778036
134,45.26357,21.801853
135,45.025967,21.824852
136,44.790493,21.848307
137,44.557087,21.873749
138,44.32569,21.895323
139,44.09624,21.921206
140,43.86868,21.94362
141,43.642937,21.969152
142,43.418938,21.990839
143,43.196613,22.015362
144,42.975895,22.038507
145,42.756695,22.061003
146,42.538937,22.083342
147,42.322533,22.106089
148,42.107388,22.127373
149,41.893417,22.146643
150,41.680527,22.169247
151,41.4686,22.185667
152,41.257526,22.203077
153,41.047226,22.220892
154,40.837563,22.233118
155,40.62842,22.246523
156,40.4197,22.257483
157,40.21126,22.266346
158,40.003002,22.271631
159,39.7948,22.278513
160,39.58652,22.27935
161,39.378056,22.279757
162,39.169273,22.277412
163,38.960068,22.27343
164,38.75031,22.263857
165,38.53988,22.256264
166,38.32867,22.24142
167,38.116554,22.22586
168,37.903408,22.207325
169,37.689106,22.184399
170,37.47353,22.158442
171,37.256546,22.13054
172,37.03804,22.09667
173,36.817883,22.061136
174,36.59598,22.021427
175,36.372208,21.97693
176,36.1465,21.930279
177,35.918774,21.87751
178,35.688984,21.825294
179,35.457104,21.760107
180,35.22313,21.703945
181,34.987015,21.635199
182,34.74885,21.562122
183,34.508728,21.491634
184,34.266644,21.41772
185,34.02279,21.334448
186,33.77724,21.25377
187,33.530167,21.172781
188,33.28172,21.088488
189,33.03205,20.99719
190,32.781384,20.91532
191,32.529842,20.826323
192,32.277676,20.738548
193,32.02506,20.650013
194,31.772234,20.56405
195,31.519407,20.479147
196,31.266788,20.389854
197,31.014648,20.305717
198,30.763172,20.225368
199,30.512608,20.13582
200,30.263157,20.057026
201,30.015036,19.97474
202,29.768457,19.893757
203,29.523607,19.811293
204,29.280676,19.736403
205,29.03983,19.655956
206,28.80124,19.578726
207,28.565073,19.505066
208,28.331413,19.431128
209,28.100382,19.35574
210,27.872082,19.289234
211,27.646568,19.214207
212,27.423912,19.14968
213,27.20413,19.079216
214,26.987255,19.01142
215,26.773338,18.946419
216,26.562357,18.879034
217,26.354301,18.811136
218,26.1492,18.748657
219,25.947035,18.681835
220,25.747799,18.615925
221,25.551514,18.555714
222,25.358156,18.490257
223,25.167732,18.428804
224,24.980251,18.369719
225,24.795683,18.308886
226,24.614037,18.250446
227,24.435297,18.194944
228,24.259436,18.138166
229,24.086443,18.084095
230,23.916294,18.032698
231,23.748953,17.98048
232,23.584383,17.931402
233,23.422554,17.884651
234,23.263414,17.836843
235,23.106926,17.793282
236,22.953043,17.750448
237,22.801718,17.707132
238,22.652903,17.669323
239,22.506552,17.628717
240,22.362621,17.593328
241,22.221077,17.556421
242,22.081879,17.525743
243,21.944979,17.488308
244,21.810368,17.466228
245,21.678,17.42704
246,21.547855,17.41024
247,21.4199,17.3753
248,21.29412,17.35626
249,21.170488,17.33167
250,21.049,17.30701
