,all_loss_values,all_test_loss_values
0,102.0728,32.486294
1,101.95029,32.4853
2,101.822495,32.49459
3,101.68848,32.501644
4,101.54788,32.503178
5,101.4007,32.50271
6,101.24657,32.503674
7,101.0851,32.50769
8,100.91663,32.51306
9,100.74104,32.51729
10,100.558014,32.519657
11,100.3675,32.520214
12,100.169876,32.519913
13,99.964165,32.520145
14,99.750206,32.52145
15,99.527336,32.522877
16,99.295296,32.523605
17,99.05457,32.52321
18,98.80509,32.52131
19,98.548294,32.517776
20,98.28289,32.51312
21,98.00877,32.507885
22,97.725655,32.502686
23,97.432945,32.49843
24,97.13111,32.49353
25,96.81978,32.486813
26,96.49926,32.47823
27,96.16995,32.467766
28,95.830666,32.45678
29,95.48086,32.444595
30,95.12181,32.431667
31,94.75217,32.417618
32,94.371826,32.403214
33,93.9813,32.387024
34,93.58065,32.368065
35,93.17105,32.347187
36,92.75134,32.325447
37,92.32176,32.302376
38,91.88096,32.275692
39,91.42957,32.24601
40,90.966995,32.214283
41,90.4951,32.180965
42,90.01264,32.146503
43,89.52147,32.111397
44,89.02138,32.07425
45,88.512794,32.033363
46,87.99427,31.989836
47,87.467186,31.943726
48,86.931625,31.89515
49,86.3885,31.844536
50,85.8367,31.791748
51,85.271324,31.736141
52,84.694435,31.676573
53,84.10825,31.613726
54,83.513306,31.549055
55,82.91135,31.483538
56,82.30496,31.417444
57,81.69276,31.34856
58,81.07475,31.27442
59,80.45188,31.196104
60,79.822945,31.11629
61,79.18835,31.03752
62,78.54798,30.956408
63,77.90456,30.872705
64,77.25277,30.783543
65,76.59481,30.689445
66,75.928635,30.592855
67,75.25085,30.499355
68,74.56486,30.405855
69,73.87302,30.308952
70,73.17844,30.210106
71,72.48017,30.10892
72,71.77809,30.00797
73,71.07389,29.906628
74,70.36476,29.803272
75,69.65267,29.700008
76,68.936424,29.593609
77,68.217514,29.48171
78,67.49801,29.3661
79,66.77833,29.25028
80,66.05989,29.132782
81,65.339516,29.013582
82,64.61811,28.89108
83,63.895298,28.763294
84,63.1721,28.63199
85,62.45267,28.497017
86,61.73428,28.359272
87,61.017776,28.220161
88,60.301003,28.07918
89,59.589806,27.935902
90,58.882298,27.788057
91,58.177223,27.63473
92,57.47501,27.480558
93,56.776993,27.325708
94,56.081604,27.171541
95,55.38961,27.013895
96,54.702454,26.852571
97,54.02061,26.688437
98,53.342175,26.523533
99,52.66982,26.35953
100,52.001823,26.19612
101,51.339146,26.030884
102,50.679386,25.863428
103,50.026016,25.691525
104,49.38116,25.518114
105,48.742985,25.341805
106,48.11187,25.164965
107,47.48965,24.982475
108,46.872623,24.79733
109,46.26158,24.6097
110,45.657673,24.417301
111,45.062508,24.223198
112,44.47508,24.028015
113,43.89677,23.832785
114,43.33002,23.637638
115,42.76929,23.442549
116,42.216293,23.247343
117,41.674553,23.051933
118,41.142563,22.857813
119,40.61861,22.66637
120,40.102867,22.477001
121,39.596115,22.286024
122,39.098507,22.094812
123,38.60893,21.902292
124,38.127113,21.710938
125,37.65448,21.520563
126,37.18937,21.330118
127,36.733047,21.140608
128,36.284317,20.950214
129,35.84419,20.759277
130,35.41161,20.567657
131,34.98694,20.374763
132,34.57473,20.184704
133,34.16784,19.992464
134,33.76913,19.800333
135,33.379482,19.607525
136,32.996628,19.414026
137,32.62245,19.223299
