,all_loss_values,all_test_loss_values
0,68.50062,66.827354
1,68.46149,66.79175
2,68.419975,66.75317
3,68.37561,66.71162
4,68.32822,66.66692
5,68.277664,66.61893
6,68.22386,66.567535
7,68.166664,66.512634
8,68.10601,66.454094
9,68.04182,66.391846
10,67.97398,66.32581
11,67.90244,66.255974
12,67.82712,66.182274
13,67.74798,66.10468
14,67.664955,66.023224
15,67.57804,65.937874
16,67.48718,65.8486
17,67.39236,65.75546
18,67.29351,65.65841
19,67.1906,65.55739
20,67.08356,65.4524
21,66.972336,65.343475
22,66.85687,65.23079
23,66.7371,65.11452
24,66.61296,64.99479
25,66.48441,64.87156
26,66.351395,64.74463
27,66.2139,64.61395
28,66.07188,64.479645
29,65.92536,64.3418
30,65.77438,64.20031
31,65.61902,64.05506
32,65.4593,63.90618
33,65.29534,63.75385
34,65.12731,63.59827
35,64.95529,63.439663
36,64.7794,63.278263
37,64.59972,63.11401
38,64.41627,62.94684
39,64.22906,62.776928
40,64.03807,62.604393
41,63.84327,62.429085
42,63.6446,62.25093
43,63.441967,62.06979
44,63.235325,61.885513
45,63.02463,61.698303
46,62.809948,61.50826
47,62.59141,61.3155
48,62.369293,61.1204
49,62.14393,60.92331
50,61.915745,60.72468
51,61.68522,60.524757
52,61.452812,60.32394
53,61.218937,60.122448
54,60.983917,59.920254
55,60.747982,59.717453
56,60.511246,59.513832
57,60.27373,59.309444
58,60.03541,59.104095
59,59.79626,58.89788
60,59.55622,58.690647
61,59.31529,58.48235
62,59.07347,58.273003
63,58.830826,58.062355
64,58.58746,57.8505
65,58.343513,57.637703
66,58.099167,57.4239
67,57.85466,57.20937
68,57.610195,56.994637
69,57.366043,56.779896
70,57.122448,56.565533
71,56.879726,56.351986
72,56.638206,56.13935
73,56.39825,55.927773
74,56.160244,55.71763
75,55.92454,55.50894
76,55.691437,55.30181
77,55.461117,55.096382
78,55.233627,54.892326
79,55.008854,54.68965
80,54.786552,54.488155
81,54.566364,54.28738
82,54.347904,54.087326
83,54.130833,53.887657
84,53.914906,53.688297
85,53.700012,53.489357
86,53.486088,53.290665
87,53.273155,53.09271
88,53.06132,52.8954
89,52.85073,52.699574
90,52.6416,52.505123
91,52.434143,52.31288
92,52.228508,52.122272
93,52.024834,51.934666
94,51.82318,51.74803
95,51.623566,51.564873
96,51.42595,51.382298
