,all_loss_values,all_test_loss_values
0,72.24261,57.151577
1,72.18181,57.10407
2,72.1185,57.053658
3,72.05211,56.99977
4,71.98248,56.94347
5,71.90933,56.884933
6,71.832535,56.82295
7,71.75199,56.757233
8,71.66748,56.68871
9,71.578926,56.617897
10,71.486084,56.54449
11,71.3889,56.467625
12,71.287155,56.386368
13,71.18073,56.300808
14,71.06945,56.211502
15,70.95321,56.118465
16,70.83184,56.02119
17,70.70531,55.919388
18,70.573166,55.812977
19,70.43512,55.702114
20,70.290886,55.58625
21,70.14084,55.464947
22,69.984695,55.338417
23,69.82211,55.207455
24,69.653015,55.07196
25,69.47774,54.93125
26,69.29624,54.784336
27,69.10803,54.631367
28,68.9126,54.47289
29,68.709984,54.308937
30,68.50088,54.139248
31,68.28469,53.963047
32,68.061386,53.780067
33,67.83062,53.591522
34,67.59202,53.39707
35,67.34604,53.196125
36,67.092705,52.9892
37,66.83158,52.77568
38,66.562706,52.555965
39,66.28585,52.3302
40,66.00098,52.098446
41,65.7085,51.86019
42,65.40832,51.61588
43,65.099625,51.364647
44,64.78369,51.10659
45,64.45975,50.8427
46,64.12732,50.57239
47,63.786594,50.294823
48,63.437435,50.011425
49,63.08089,49.72167
50,62.716393,49.42434
51,62.344383,49.121456
52,61.96409,48.812824
53,61.576035,48.497475
54,61.180313,48.174828
55,60.77702,47.846016
56,60.366173,47.51005
57,59.94817,47.16846
58,59.523697,46.820354
59,59.0919,46.466633
60,58.65248,46.106876
61,58.205944,45.741608
62,57.75329,45.371174
63,57.29411,44.99376
64,56.827442,44.610275
65,56.354416,44.2214
66,55.874798,43.828587
67,55.38952,43.43128
68,54.899616,43.02972
69,54.404537,42.62335
70,53.90366,42.212902
71,53.397133,41.797665
72,52.885918,41.37954
73,52.3709,40.95783
74,51.85091,40.53234
75,51.326553,40.104095
76,50.79837,39.67091
77,50.266624,39.236706
78,49.729637,38.798138
79,49.189022,38.360363
80,48.64499,37.916557
81,48.096954,37.47371
82,47.547062,37.026466
83,46.994698,36.57668
84,46.440445,36.125996
85,45.8839,35.67088
86,45.32531,35.21725
87,44.76518,34.761097
88,44.203293,34.303078
89,43.64096,33.846214
90,43.077576,33.387257
91,42.51334,32.928333
92,41.948227,32.468166
93,41.38182,32.00728
94,40.815613,31.546585
95,40.25067,31.084974
96,39.686512,30.626055
97,39.12282,30.166422
98,38.560074,29.709633
99,37.99749,29.251677
100,37.43631,28.7974
101,36.877472,28.342087
102,36.321323,27.889753
103,35.767315,27.439058
104,35.215664,26.99014
105,34.666492,26.54428
106,34.12073,26.098541
107,33.576878,25.657593
108,33.036297,25.215935
109,32.500496,24.779776
110,31.968887,24.344053
111,31.440817,23.911438
112,30.916954,23.482933
113,30.398355,23.055292
114,29.884573,22.631422
115,29.375788,22.210987
116,28.8719,21.7932
117,28.373034,21.381195
118,27.8791,20.970945
119,27.389948,20.566622
120,26.90621,20.16599
121,26.428377,19.77019
122,25.956,19.37928
123,25.488813,18.990507
124,25.028313,18.608522
125,24.574087,18.227732
126,24.126038,17.854733
127,23.684046,17.483149
128,23.247679,17.117865
129,22.818048,16.758268
130,22.395374,16.4014
131,21.979155,16.05347
132,21.570417,15.707458
133,21.168886,15.367752
134,20.773884,15.033081
135,20.385847,14.701757
136,20.005083,14.378387
137,19.63085,14.0586195
138,19.263372,13.744177
139,18.902637,13.4371195
140,18.549383,13.133474
141,18.203482,12.835574
142,17.864618,12.543678
143,17.533209,12.255396
144,17.209572,11.975454
145,16.892794,11.700962
146,16.583397,11.430547
147,16.28139,11.167668
148,15.9866,10.909328
149,15.698657,10.657382
