,all_loss_values,all_test_loss_values
0,72.24261,64.14361
1,72.2419,64.14294
2,72.24119,64.14231
3,72.24047,64.141716
4,72.23976,64.14113
5,72.23904,64.14053
6,72.23833,64.13993
7,72.23762,64.139305
8,72.2369,64.13867
9,72.23619,64.138016
10,72.23548,64.13736
11,72.234764,64.1367
12,72.234055,64.13607
13,72.23333,64.13544
14,72.23262,64.13481
15,72.23191,64.1342
16,72.23119,64.13359
17,72.23048,64.13297
18,72.22976,64.13237
19,72.22905,64.13174
20,72.228325,64.13111
21,72.22761,64.13047
22,72.22689,64.129814
23,72.22617,64.12917
24,72.22546,64.12853
25,72.224754,64.12791
26,72.224045,64.12728
27,72.223335,64.126656
28,72.22261,64.12604
29,72.22189,64.125404
30,72.22118,64.12477
31,72.22047,64.12413
32,72.21975,64.12347
33,72.21903,64.12284
34,72.21832,64.122215
35,72.217606,64.121574
36,72.216866,64.12094
37,72.21617,64.120316
38,72.21545,64.1197
39,72.21473,64.11905
40,72.214005,64.118416
41,72.21328,64.11777
42,72.21256,64.11712
43,72.211845,64.11646
44,72.211136,64.11584
45,72.21042,64.11519
46,72.20969,64.11456
47,72.20896,64.11393
48,72.208244,64.11329
49,72.20751,64.11265
50,72.206795,64.11203
51,72.206085,64.11139
52,72.20537,64.110725
53,72.20465,64.110085
54,72.20392,64.10944
55,72.20322,64.10886
56,72.202484,64.108215
57,72.20173,64.107605
58,72.20103,64.10698
59,72.200294,64.10633
60,72.19957,64.10568
61,72.198845,64.105034
62,72.19813,64.10438
63,72.197395,64.10372
64,72.19666,64.10308
65,72.19592,64.10245
66,72.19516,64.1018
67,72.19441,64.10114
68,72.193695,64.10051
69,72.19294,64.09985
70,72.1922,64.099205
71,72.19148,64.098564
72,72.19078,64.0979
73,72.190056,64.097275
74,72.18933,64.09663
75,72.18859,64.09599
76,72.18786,64.09535
77,72.18713,64.094696
78,72.186386,64.09405
79,72.185684,64.09339
80,72.18492,64.09272
81,72.184166,64.092094
82,72.18341,64.09138
83,72.18265,64.09074
84,72.18191,64.090096
85,72.181175,64.08945
86,72.180435,64.08879
87,72.17973,64.088135
88,72.17897,64.08749
89,72.178215,64.08682
90,72.17755,64.08618
91,72.17683,64.08556
92,72.17603,64.08491
93,72.175316,64.084274
94,72.17457,64.08362
95,72.17382,64.08296
96,72.173065,64.08227
97,72.17223,64.08161
98,72.1715,64.08095
99,72.17078,64.080315
100,72.170105,64.079666
101,72.16935,64.07905
102,72.16861,64.078415
103,72.16786,64.07775
104,72.16712,64.07709
105,72.166405,64.07644
106,72.16569,64.07575
107,72.16496,64.07512
108,72.164215,64.07447
109,72.16347,64.073814
110,72.162735,64.07316
111,72.16199,64.07249
112,72.16121,64.071815
113,72.16045,64.07114
114,72.159744,64.070465
115,72.159,64.06982
116,72.15828,64.069145
117,72.15752,64.06843
118,72.15681,64.06774
119,72.15601,64.067085
120,72.15525,64.06643
121,72.1545,64.06577
122,72.153755,64.06514
123,72.15301,64.0645
124,72.15227,64.06385
125,72.151505,64.06318
126,72.15071,64.06248
127,72.149956,64.0618
128,72.14921,64.061195
129,72.14845,64.060616
130,72.14764,64.06001
131,72.1469,64.05938
132,72.14613,64.05873
133,72.14538,64.058105
134,72.14463,64.05737
135,72.14386,64.05669
136,72.14318,64.0561
137,72.142426,64.05544
138,72.14168,64.05483
139,72.14091,64.05418
140,72.14019,64.053505
141,72.13945,64.05282
142,72.13868,64.05213
143,72.13794,64.051605
144,72.137146,64.05095
145,72.13647,64.050316
146,72.1357,64.04966
147,72.13493,64.04907
148,72.134125,64.04838
149,72.13337,64.047615
150,72.1327,64.046974
151,72.131935,64.04629
152,72.13119,64.0457
153,72.13044,64.045044
154,72.12964,64.0445
155,72.12887,64.04382
156,72.128075,64.04314
157,72.127304,64.04244
158,72.12653,64.04178
159,72.12577,64.04121
160,72.12504,64.040565
161,72.12423,64.03998
162,72.12347,64.03928
163,72.12273,64.03852
164,72.12194,64.03781
165,72.121185,64.037125
166,72.12041,64.03651
167,72.11963,64.03586
168,72.1189,64.03519
169,72.11819,64.03444
170,72.1174,64.03373
171,72.11664,64.03305
172,72.1159,64.032364
173,72.11515,64.031715
174,72.11437,64.03109
175,72.113594,64.03042
176,72.11285,64.029755
177,72.11204,64.02905
178,72.11126,64.02834
179,72.11049,64.02766
180,72.10988,64.02703
181,72.10909,64.02639
182,72.10831,64.025734
183,72.10753,64.02505
184,72.106865,64.02439
185,72.1062,64.02373
186,72.105545,64.02309
187,72.104805,64.02246
188,72.104004,64.02178
189,72.10323,64.02107
190,72.10253,64.020355
191,72.1017,64.01964
192,72.10094,64.018974
193,72.10014,64.01829
194,72.099365,64.017685
195,72.09853,64.01701
196,72.09778,64.01632
