,all_loss_values,all_test_loss_values
0,72.24261,55.803566
1,72.19738,55.763107
2,72.149574,55.720306
3,72.09872,55.67508
4,72.044586,55.627407
5,71.98707,55.577175
6,71.92602,55.52414
7,71.8613,55.468086
8,71.79274,55.408894
9,71.72024,55.346535
10,71.64371,55.281002
11,71.563065,55.21222
12,71.47825,55.14002
13,71.389175,55.06422
14,71.29577,54.984653
15,71.19796,54.901157
16,71.09564,54.81358
17,70.98874,54.721756
18,70.877174,54.625565
19,70.76086,54.524937
20,70.63974,54.419827
21,70.5138,54.310307
22,70.38303,54.19633
23,70.247444,54.07786
24,70.10715,53.955013
25,69.9622,53.82804
26,69.81272,53.69725
27,69.6589,53.56286
28,69.5009,53.42496
29,69.33893,53.28362
30,69.17318,53.139015
31,69.00386,52.991234
32,68.8312,52.840214
33,68.65539,52.68612
34,68.47666,52.529137
35,68.29521,52.369263
36,68.11126,52.206375
37,67.924965,52.040398
38,67.736435,51.87124
39,67.54572,51.698658
40,67.35284,51.52254
41,67.15776,51.34287
42,66.96039,51.15955
43,66.7606,50.972336
44,66.55818,50.781086
45,66.35293,50.58584
46,66.144615,50.386684
47,65.93307,50.183666
48,65.71814,49.97668
49,65.49975,49.76565
50,65.277916,49.550533
51,65.05272,49.331245
52,64.82431,49.107716
53,64.59287,48.879845
54,64.35866,48.6475
55,64.121956,48.4108
56,63.883087,48.16994
57,63.642376,47.92508
58,63.400272,47.676643
59,63.157207,47.425327
60,62.91361,47.171688
61,62.669975,46.91638
62,62.42674,46.660053
63,62.18421,46.40324
64,61.94267,46.146633
65,61.70225,45.891056
66,61.46302,45.637062
67,61.225,45.38515
68,60.98815,45.135994
69,60.75246,44.89028
70,60.51788,44.64826
71,60.28439,44.41
72,60.051987,44.175865
73,59.82068,43.94597
74,59.5905,43.72026
75,59.36156,43.49879
76,59.133984,43.281418
77,58.90791,43.067833
78,58.683517,42.85782
79,58.460926,42.651
80,58.24017,42.446896
81,58.021263,42.245193
82,57.8041,42.045628
83,57.58861,41.847908
84,57.37472,41.651882
85,57.162376,41.45743
86,56.951584,41.264416
87,56.74239,41.07278
