,all_loss_values,all_test_loss_values
0,72.24261,61.572968
1,72.17283,61.51541
2,72.09632,61.450607
3,72.011765,61.37805
4,71.918655,61.297245
5,71.81661,61.207577
6,71.70528,61.108776
7,71.58433,61.000847
8,71.45351,60.883724
9,71.312546,60.75733
10,71.1612,60.621765
11,70.99921,60.476974
12,70.826416,60.32283
13,70.642715,60.159237
14,70.44802,59.98612
15,70.24233,59.803204
16,70.02566,59.610287
17,69.79809,59.407593
18,69.559715,59.19519
19,69.3107,58.97273
20,69.05132,58.74037
21,68.781845,58.49862
22,68.50261,58.24766
23,68.213974,57.987892
24,67.916306,57.719616
25,67.60998,57.443443
26,67.295395,57.160343
27,66.972984,56.86996
28,66.643135,56.57244
29,66.30625,56.268093
30,65.96274,55.95767
31,65.613075,55.642944
32,65.257744,55.32384
33,64.897316,55.001797
34,64.53229,54.676666
35,64.16311,54.347824
36,63.790184,54.01647
37,63.413834,53.68185
38,63.034412,53.34443
39,62.65227,53.00465
40,62.267696,52.66267
41,61.88098,52.3187
42,61.49241,51.97198
43,61.102318,51.623146
44,60.711037,51.27231
45,60.31895,50.919777
46,59.926437,50.56619
47,59.53393,50.211166
48,59.141834,49.85682
49,58.750546,49.502808
50,58.36041,49.150036
51,57.971825,48.797726
52,57.585144,48.44472
53,57.200638,48.092762
54,56.818527,47.741074
55,56.43903,47.391365
56,56.06227,47.04279
57,55.68843,46.695915
58,55.31765,46.351536
59,54.950073,46.008904
60,54.58586,45.669975
61,54.225155,45.333626
62,53.86802,45.00133
63,53.514526,44.672573
64,53.164764,44.346363
65,52.81885,44.025204
66,52.476906,43.70749
67,52.13901,43.39558
68,51.80521,43.086914
69,51.47555,42.783062
70,51.15006,42.48379
71,50.828735,42.187492
72,50.511574,41.897182
73,50.198593,41.610165
74,49.889767,41.328594
75,49.585052,41.05041
76,49.284386,40.776035
77,48.98767,40.505604
78,48.694813,40.237602
79,48.4057,39.974316
80,48.12024,39.712326
81,47.83837,39.454586
82,47.560005,39.198563
83,47.285084,38.946285
84,47.013527,38.696945
85,46.74527,38.44957
86,46.48026,38.205807
87,46.218414,37.963478
88,45.959663,37.72526
89,45.703945,37.48791
90,45.451187,37.25495
91,45.201332,37.023777
92,44.95431,36.796066
93,44.71008,36.570957
94,44.468582,36.34825
95,44.22978,36.129185
96,43.993633,35.912125
97,43.760094,35.69819
98,43.52911,35.486103
99,43.300648,35.276936
100,43.074654,35.069332
101,42.8511,34.86473
102,42.629955,34.661682
103,42.411175,34.461567
104,42.19473,34.263172
105,41.980564,34.06691
106,41.768646,33.87294
107,41.55893,33.679943
108,41.351376,33.48981
109,41.14593,33.30054
110,40.94257,33.113598
111,40.741245,32.928123
112,40.541916,32.744083
113,40.344536,32.561604
114,40.14907,32.380352
115,39.955475,32.200954
116,39.763706,32.02247
117,39.57373,31.845707
118,39.38551,31.67036
119,39.199005,31.496067
120,39.014175,31.323492
121,38.830997,31.152018
122,38.649433,30.982054
123,38.469448,30.812872
124,38.29102,30.645775
125,38.1141,30.478857
126,37.93868,30.313946
127,37.764717,30.149874
128,37.59219,29.986917
129,37.421066,29.825605
130,37.251328,29.66469
131,37.08294,29.506035
132,36.915886,29.347319
133,36.750145,29.190868
134,36.585682,29.034496
135,36.42249,28.880033
136,36.260536,28.72594
137,36.099815,28.57378
138,35.940292,28.421745
139,35.78196,28.272161
140,35.62479,28.122389
141,35.468765,27.973974
142,35.313877,27.827375
143,35.160103,27.680162
144,35.007427,27.535284
145,34.855835,27.39067
146,34.705307,27.247324
147,34.555824,27.10427
148,34.407383,26.963451
149,34.259956,26.822052
150,34.11354,26.682655
151,33.968113,26.543463
152,33.823654,26.405762
153,33.680157,26.268095
154,33.537594,26.132223
155,33.395958,25.996685
156,33.255222,25.86208
157,33.11537,25.728563
158,32.976387,25.596058
159,32.83824,25.463636
160,32.700916,25.33381
161,32.56439,25.202343
162,32.42864,25.074934
163,32.29365,24.945171
164,32.15941,24.819098
165,32.02589,24.692284
166,31.893099,24.566801
167,31.761028,24.443104
168,31.629671,24.318432
169,31.499018,24.19717
170,31.369043,24.073982
171,31.23975,23.953718
172,31.111107,23.832909
173,30.983116,23.71302
174,30.855759,23.59417
175,30.729027,23.475876
176,30.602888,23.35767
177,30.477318,23.241995
178,30.3523,23.125114
179,30.227839,23.01103
180,30.103912,22.896921
181,29.98052,22.784056
182,29.857653,22.672436
183,29.735315,22.561274
184,29.613531,22.451626
185,29.492292,22.341566
186,29.371588,22.23377
187,29.25141,22.12399
188,29.131771,22.018328
189,29.01266,21.909258
190,28.89408,21.80589
191,28.776007,21.698082
192,28.658443,21.596413
193,28.541388,21.489975
194,28.424833,21.388874
195,28.308786,21.284933
196,28.193245,21.184013
197,28.078245,21.084059
198,27.963802,20.983355
199,27.849936,20.885893
200,27.736689,20.7858
201,27.624092,20.68894
202,27.512169,20.590622
203,27.400944,20.49487
204,27.290415,20.398802
205,27.180567,20.303896
206,27.071394,20.208986
207,26.962881,20.114834
208,26.85504,20.021166
209,26.747898,19.928638
210,26.641493,19.83611
211,26.53587,19.744856
212,26.43103,19.653486
213,26.326971,19.563488
214,26.223665,19.474035
215,26.12108,19.384155
216,26.019205,19.29617
217,25.918037,19.205183
218,25.817575,19.11782
219,25.71779,19.025183
220,25.618656,18.93709
221,25.520111,18.843086
222,25.422087,18.753496
223,25.324524,18.658197
