,all_loss_values,all_test_loss_values,activation,m,n,mse
0,46.666668,10.385226,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
1,44.239616,9.047506,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
2,42.03868,7.930163,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
3,40.038063,7.001601,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
4,38.21526,6.234648,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
5,36.55058,5.605933,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
6,35.02679,5.095351,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
7,33.628784,4.6856103,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
8,32.343296,4.3618326,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
9,31.158665,4.1112194,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
10,30.06461,3.9227617,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
11,29.052069,3.7869895,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
12,28.113033,3.6957588,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
13,27.24041,3.642068,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
14,26.427912,3.619897,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
15,25.669962,3.6240737,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
16,24.961588,3.6501582,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
17,24.298359,3.694336,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
18,23.67632,3.7533374,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
19,23.091938,3.82436,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
20,22.542046,3.905004,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
21,22.023787,3.9932182,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
22,21.534613,4.08725,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
23,21.072214,4.1856074,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
24,20.634506,4.2870183,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
25,20.219614,4.390406,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
26,19.825823,4.4948583,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
27,19.4516,4.599603,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
28,19.095531,4.7039976,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
29,18.756334,4.807499,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
30,18.432852,4.909659,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
31,18.124016,5.010106,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
32,17.82885,5.1085386,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
33,17.546461,5.2047114,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
34,17.276028,5.2984276,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
35,17.016804,5.3895354,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
36,16.768093,5.47792,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
37,16.529259,5.5634937,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
38,16.29971,5.6462007,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
39,16.078903,5.726003,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
40,15.866338,5.8028846,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
41,15.661544,5.876845,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
42,15.46409,5.947897,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
43,15.273576,6.016066,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
44,15.089625,6.081385,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
45,14.911895,6.1438966,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
46,14.740058,6.203647,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
47,14.573813,6.260691,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
48,14.41288,6.315086,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
49,14.256993,6.3668923,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
50,14.105906,6.4161725,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
51,13.95939,6.462992,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
52,13.8172245,6.5074177,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
53,13.679212,6.5495143,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
54,13.5451565,6.5893507,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
55,13.414882,6.626993,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
56,13.2882185,6.6625085,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
57,13.1650095,6.695963,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
58,13.045102,6.7274218,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
59,12.928358,6.7569485,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
60,12.814643,6.784609,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
61,12.703833,6.8104634,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
62,12.595806,6.8345723,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
63,12.490452,6.856996,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
64,12.387664,6.8777924,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
65,12.287343,6.8970184,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
66,12.189391,6.9147286,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
67,12.093719,6.930977,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
68,12.000239,6.945815,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
69,11.9088745,6.9592943,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
70,11.819543,6.9714627,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
71,11.732173,6.9823704,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
72,11.646693,6.992061,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
73,11.563039,7.000581,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
74,11.481144,7.0079722,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
75,11.4009495,7.0142784,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
76,11.322397,7.019539,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
77,11.245432,7.0237927,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
78,11.170002,7.02708,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
79,11.096056,7.029435,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
80,11.023547,7.0308948,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
81,10.95243,7.0314937,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
82,10.882657,7.0312634,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
83,10.81419,7.0302377,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
84,10.746987,7.0284467,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
85,10.681012,7.02592,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
86,10.616222,7.022687,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
87,10.552589,7.0187764,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
88,10.490076,7.0142126,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
89,10.428648,7.009024,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
90,10.368276,7.0032344,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
91,10.308929,6.996869,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
92,10.250582,6.98995,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
93,10.193204,6.9825,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
94,10.1367655,6.9745417,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
95,10.081246,6.9660954,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
96,10.026618,6.957182,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
97,9.972859,6.9478197,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
98,9.919945,6.9380283,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
99,9.867853,6.9278264,<function cos at 0x7fd78ef40cb0>,3200,59049,9.8165655
