,all_loss_values,all_test_loss_values,activation,m,n,mse
0,46.666668,10.334965,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
1,43.844196,8.925813,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
2,41.286186,7.7254424,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
3,38.964115,6.7071147,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
4,36.85278,5.847383,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
5,34.92988,5.1256933,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
6,33.17567,4.524028,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
7,31.572672,4.0265927,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
8,30.10537,3.6195478,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
9,28.759998,3.290769,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
10,27.524332,3.029634,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
11,26.387495,2.8268425,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
12,25.339808,2.674254,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
13,24.372648,2.564745,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
14,23.478334,2.4920876,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
15,22.649994,2.4508376,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
16,21.881493,2.4362404,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
17,21.167349,2.4441464,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
18,20.50264,2.4709368,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
19,19.882963,2.51346,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
20,19.304367,2.5689723,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
21,18.76329,2.6350913,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
22,18.256536,2.709747,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
23,17.781223,2.7911491,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
24,17.334759,2.8777473,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
25,16.914791,2.968204,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
26,16.519203,3.0613701,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
27,16.14607,3.1562564,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
28,15.793654,3.2520201,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
29,15.460376,3.3479393,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
30,15.144802,3.4434047,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
31,14.845626,3.5379012,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
32,14.561659,3.630996,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
33,14.291815,3.7223308,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
34,14.035105,3.8116088,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
35,13.790621,3.8985894,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
36,13.557535,3.983079,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
37,13.335086,4.064926,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
38,13.122579,4.1440144,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
39,12.919366,4.220258,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
40,12.724864,4.2935996,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
41,12.538526,4.364002,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
42,12.359849,4.431451,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
43,12.188374,4.495945,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
44,12.023669,4.557501,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
45,11.86534,4.6161437,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
46,11.713019,4.6719093,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
47,11.566364,4.7248445,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
48,11.425062,4.7750006,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
49,11.288817,4.8224344,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
50,11.157354,4.8672075,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
51,11.030422,4.9093866,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
52,10.907777,4.9490385,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
53,10.789203,4.9862337,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
54,10.67449,5.021044,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
55,10.563443,5.0535398,<function cos at 0x7fbf13726cb0>,3200,59049,7.646773
