,all_loss_values,all_test_loss_values,activation,m,n,mse
0,46.666668,9.615963,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
1,42.80523,7.7933164,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
2,39.47315,6.408196,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
3,36.585167,5.3736706,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
4,34.070934,4.619279,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
5,31.87226,4.087931,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
6,29.940918,3.733403,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
7,28.23684,3.5182946,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
8,26.72665,3.4123757,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
9,25.382475,3.3912413,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
10,24.180979,3.435217,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
11,23.102554,3.5284715,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
12,22.130701,3.6582959,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
13,21.251469,3.8145146,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
14,20.453043,3.9890087,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
15,19.725368,4.1753263,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
16,19.059877,4.368368,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
17,18.449232,4.564129,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
18,17.887136,4.759489,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
19,17.368158,4.952044,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
20,16.88761,5.1399655,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
21,16.44142,5.3218884,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
22,16.026047,5.4968224,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
23,15.6384,5.6640716,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
24,15.275766,5.8231797,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
25,14.935769,5.9738765,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
26,14.616312,6.1160426,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
27,14.3155365,6.2496696,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
28,14.031797,6.374846,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
29,13.763637,6.4917235,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
30,13.50975,6.600507,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
31,13.268969,6.701437,<function cos at 0x7f81ce726cb0>,3200,59049,7.0394645
