,all_loss_values,all_test_loss_values,activation,m,n,mse
0,83.51011,50.505394,<function cos at 0x7f9665f26b90>,200,90,1.0425389
1,70.4348,42.774033,<function cos at 0x7f9665f26b90>,200,90,1.0425389
2,60.795334,36.896385,<function cos at 0x7f9665f26b90>,200,90,1.0425389
3,53.500977,32.34247,<function cos at 0x7f9665f26b90>,200,90,1.0425389
4,47.83749,28.74925,<function cos at 0x7f9665f26b90>,200,90,1.0425389
5,43.33182,25.8652,<function cos at 0x7f9665f26b90>,200,90,1.0425389
6,39.66658,23.513798,<function cos at 0x7f9665f26b90>,200,90,1.0425389
7,36.625595,21.56942,<function cos at 0x7f9665f26b90>,200,90,1.0425389
8,34.05919,19.941326,<function cos at 0x7f9665f26b90>,200,90,1.0425389
9,31.861765,18.56292,<function cos at 0x7f9665f26b90>,200,90,1.0425389
10,29.957315,17.38452,<function cos at 0x7f9665f26b90>,200,90,1.0425389
11,28.290005,16.368443,<function cos at 0x7f9665f26b90>,200,90,1.0425389
12,26.817888,15.485642,<function cos at 0x7f9665f26b90>,200,90,1.0425389
13,25.508821,14.713386,<function cos at 0x7f9665f26b90>,200,90,1.0425389
14,24.337648,14.0336075,<function cos at 0x7f9665f26b90>,200,90,1.0425389
15,23.28432,13.431771,<function cos at 0x7f9665f26b90>,200,90,1.0425389
16,22.332588,12.8960495,<function cos at 0x7f9665f26b90>,200,90,1.0425389
17,21.469084,12.416704,<function cos at 0x7f9665f26b90>,200,90,1.0425389
18,20.68266,11.985662,<function cos at 0x7f9665f26b90>,200,90,1.0425389
19,19.963934,11.596172,<function cos at 0x7f9665f26b90>,200,90,1.0425389
20,19.304932,11.242556,<function cos at 0x7f9665f26b90>,200,90,1.0425389
21,18.698824,10.920014,<function cos at 0x7f9665f26b90>,200,90,1.0425389
22,18.139719,10.624473,<function cos at 0x7f9665f26b90>,200,90,1.0425389
23,17.622509,10.352456,<function cos at 0x7f9665f26b90>,200,90,1.0425389
24,17.142754,10.101,<function cos at 0x7f9665f26b90>,200,90,1.0425389
25,16.696573,9.867561,<function cos at 0x7f9665f26b90>,200,90,1.0425389
26,16.280554,9.6499605,<function cos at 0x7f9665f26b90>,200,90,1.0425389
27,15.891711,9.44632,<function cos at 0x7f9665f26b90>,200,90,1.0425389
28,15.527401,9.255024,<function cos at 0x7f9665f26b90>,200,90,1.0425389
29,15.1852865,9.0746765,<function cos at 0x7f9665f26b90>,200,90,1.0425389
30,14.863306,8.904076,<function cos at 0x7f9665f26b90>,200,90,1.0425389
31,14.559628,8.742181,<function cos at 0x7f9665f26b90>,200,90,1.0425389
32,14.272618,8.588089,<function cos at 0x7f9665f26b90>,200,90,1.0425389
33,14.000825,8.441019,<function cos at 0x7f9665f26b90>,200,90,1.0425389
34,13.742952,8.300293,<function cos at 0x7f9665f26b90>,200,90,1.0425389
35,13.497844,8.16532,<function cos at 0x7f9665f26b90>,200,90,1.0425389
36,13.2644615,8.035588,<function cos at 0x7f9665f26b90>,200,90,1.0425389
37,13.041876,7.91065,<function cos at 0x7f9665f26b90>,200,90,1.0425389
38,12.829249,7.7901106,<function cos at 0x7f9665f26b90>,200,90,1.0425389
39,12.625835,7.673631,<function cos at 0x7f9665f26b90>,200,90,1.0425389
40,12.430947,7.5609117,<function cos at 0x7f9665f26b90>,200,90,1.0425389
41,12.243982,7.451683,<function cos at 0x7f9665f26b90>,200,90,1.0425389
42,12.064379,7.3457184,<function cos at 0x7f9665f26b90>,200,90,1.0425389
43,11.891638,7.2428107,<function cos at 0x7f9665f26b90>,200,90,1.0425389
44,11.725307,7.1427755,<function cos at 0x7f9665f26b90>,200,90,1.0425389
45,11.564968,7.045453,<function cos at 0x7f9665f26b90>,200,90,1.0425389
46,11.410246,6.950697,<function cos at 0x7f9665f26b90>,200,90,1.0425389
47,11.260795,6.8583775,<function cos at 0x7f9665f26b90>,200,90,1.0425389
48,11.116303,6.768383,<function cos at 0x7f9665f26b90>,200,90,1.0425389
49,10.97648,6.680599,<function cos at 0x7f9665f26b90>,200,90,1.0425389
50,10.8410635,6.5949373,<function cos at 0x7f9665f26b90>,200,90,1.0425389
51,10.70981,6.5113125,<function cos at 0x7f9665f26b90>,200,90,1.0425389
52,10.582497,6.429641,<function cos at 0x7f9665f26b90>,200,90,1.0425389
53,10.45892,6.349851,<function cos at 0x7f9665f26b90>,200,90,1.0425389
54,10.338883,6.271876,<function cos at 0x7f9665f26b90>,200,90,1.0425389
55,10.222217,6.195653,<function cos at 0x7f9665f26b90>,200,90,1.0425389
56,10.108756,6.121126,<function cos at 0x7f9665f26b90>,200,90,1.0425389
57,9.998348,6.0482388,<function cos at 0x7f9665f26b90>,200,90,1.0425389
58,9.890854,5.976943,<function cos at 0x7f9665f26b90>,200,90,1.0425389
59,9.786141,5.9071903,<function cos at 0x7f9665f26b90>,200,90,1.0425389
60,9.684092,5.838933,<function cos at 0x7f9665f26b90>,200,90,1.0425389
61,9.584586,5.772132,<function cos at 0x7f9665f26b90>,200,90,1.0425389
62,9.48752,5.706745,<function cos at 0x7f9665f26b90>,200,90,1.0425389
63,9.392795,5.6427326,<function cos at 0x7f9665f26b90>,200,90,1.0425389
64,9.300315,5.58006,<function cos at 0x7f9665f26b90>,200,90,1.0425389
65,9.209991,5.5186906,<function cos at 0x7f9665f26b90>,200,90,1.0425389
66,9.121745,5.4585876,<function cos at 0x7f9665f26b90>,200,90,1.0425389
67,9.035492,5.399725,<function cos at 0x7f9665f26b90>,200,90,1.0425389
68,8.951162,5.342062,<function cos at 0x7f9665f26b90>,200,90,1.0425389
69,8.868687,5.285577,<function cos at 0x7f9665f26b90>,200,90,1.0425389
70,8.787995,5.2302327,<function cos at 0x7f9665f26b90>,200,90,1.0425389
71,8.70903,5.1760073,<function cos at 0x7f9665f26b90>,200,90,1.0425389
72,8.63173,5.1228676,<function cos at 0x7f9665f26b90>,200,90,1.0425389
73,8.556041,5.07079,<function cos at 0x7f9665f26b90>,200,90,1.0425389
74,8.481907,5.0197487,<function cos at 0x7f9665f26b90>,200,90,1.0425389
75,8.409276,4.9697156,<function cos at 0x7f9665f26b90>,200,90,1.0425389
76,8.338102,4.9206676,<function cos at 0x7f9665f26b90>,200,90,1.0425389
77,8.268339,4.8725834,<function cos at 0x7f9665f26b90>,200,90,1.0425389
78,8.1999445,4.8254337,<function cos at 0x7f9665f26b90>,200,90,1.0425389
79,8.132873,4.7792006,<function cos at 0x7f9665f26b90>,200,90,1.0425389
80,8.067086,4.7338595,<function cos at 0x7f9665f26b90>,200,90,1.0425389
81,8.002546,4.68939,<function cos at 0x7f9665f26b90>,200,90,1.0425389
82,7.9392133,4.645771,<function cos at 0x7f9665f26b90>,200,90,1.0425389
83,7.877056,4.602981,<function cos at 0x7f9665f26b90>,200,90,1.0425389
84,7.8160405,4.561002,<function cos at 0x7f9665f26b90>,200,90,1.0425389
85,7.7561336,4.5198135,<function cos at 0x7f9665f26b90>,200,90,1.0425389
86,7.6973014,4.4793963,<function cos at 0x7f9665f26b90>,200,90,1.0425389
87,7.6395164,4.4397326,<function cos at 0x7f9665f26b90>,200,90,1.0425389
88,7.582752,4.4008045,<function cos at 0x7f9665f26b90>,200,90,1.0425389
89,7.5269775,4.362594,<function cos at 0x7f9665f26b90>,200,90,1.0425389
90,7.4721684,4.3250856,<function cos at 0x7f9665f26b90>,200,90,1.0425389
91,7.4182963,4.2882586,<function cos at 0x7f9665f26b90>,200,90,1.0425389
92,7.3653393,4.2521014,<function cos at 0x7f9665f26b90>,200,90,1.0425389
93,7.313273,4.2165947,<function cos at 0x7f9665f26b90>,200,90,1.0425389
94,7.2620754,4.181725,<function cos at 0x7f9665f26b90>,200,90,1.0425389
95,7.2117243,4.147477,<function cos at 0x7f9665f26b90>,200,90,1.0425389
96,7.1621947,4.113837,<function cos at 0x7f9665f26b90>,200,90,1.0425389
97,7.1134696,4.0807886,<function cos at 0x7f9665f26b90>,200,90,1.0425389
98,7.0655293,4.0483193,<function cos at 0x7f9665f26b90>,200,90,1.0425389
99,7.018354,4.016415,<function cos at 0x7f9665f26b90>,200,90,1.0425389
100,6.971924,3.9850636,<function cos at 0x7f9665f26b90>,200,90,1.0425389
101,6.926223,3.9542499,<function cos at 0x7f9665f26b90>,200,90,1.0425389
102,6.881231,3.9239655,<function cos at 0x7f9665f26b90>,200,90,1.0425389
103,6.836935,3.8941932,<function cos at 0x7f9665f26b90>,200,90,1.0425389
104,6.793314,3.8649242,<function cos at 0x7f9665f26b90>,200,90,1.0425389
105,6.7503576,3.8361456,<function cos at 0x7f9665f26b90>,200,90,1.0425389
106,6.708048,3.807848,<function cos at 0x7f9665f26b90>,200,90,1.0425389
107,6.666369,3.7800188,<function cos at 0x7f9665f26b90>,200,90,1.0425389
108,6.6253085,3.7526476,<function cos at 0x7f9665f26b90>,200,90,1.0425389
109,6.5848503,3.7257237,<function cos at 0x7f9665f26b90>,200,90,1.0425389
110,6.544983,3.6992366,<function cos at 0x7f9665f26b90>,200,90,1.0425389
111,6.5056925,3.6731772,<function cos at 0x7f9665f26b90>,200,90,1.0425389
112,6.466965,3.6475358,<function cos at 0x7f9665f26b90>,200,90,1.0425389
113,6.4287925,3.622304,<function cos at 0x7f9665f26b90>,200,90,1.0425389
114,6.391156,3.5974703,<function cos at 0x7f9665f26b90>,200,90,1.0425389
115,6.3540516,3.5730271,<function cos at 0x7f9665f26b90>,200,90,1.0425389
116,6.317463,3.548966,<function cos at 0x7f9665f26b90>,200,90,1.0425389
117,6.2813807,3.5252762,<function cos at 0x7f9665f26b90>,200,90,1.0425389
118,6.245794,3.5019531,<function cos at 0x7f9665f26b90>,200,90,1.0425389
119,6.2106905,3.4789863,<function cos at 0x7f9665f26b90>,200,90,1.0425389
120,6.1760635,3.456367,<function cos at 0x7f9665f26b90>,200,90,1.0425389
121,6.141902,3.4340897,<function cos at 0x7f9665f26b90>,200,90,1.0425389
122,6.108196,3.412147,<function cos at 0x7f9665f26b90>,200,90,1.0425389
123,6.074938,3.390531,<function cos at 0x7f9665f26b90>,200,90,1.0425389
124,6.0421147,3.3692343,<function cos at 0x7f9665f26b90>,200,90,1.0425389
125,6.0097203,3.348249,<function cos at 0x7f9665f26b90>,200,90,1.0425389
126,5.9777465,3.3275719,<function cos at 0x7f9665f26b90>,200,90,1.0425389
127,5.9461846,3.3071928,<function cos at 0x7f9665f26b90>,200,90,1.0425389
128,5.9150276,3.2871065,<function cos at 0x7f9665f26b90>,200,90,1.0425389
129,5.8842664,3.2673063,<function cos at 0x7f9665f26b90>,200,90,1.0425389
130,5.853893,3.2477872,<function cos at 0x7f9665f26b90>,200,90,1.0425389
131,5.823898,3.2285433,<function cos at 0x7f9665f26b90>,200,90,1.0425389
132,5.7942777,3.209569,<function cos at 0x7f9665f26b90>,200,90,1.0425389
133,5.7650247,3.1908574,<function cos at 0x7f9665f26b90>,200,90,1.0425389
134,5.7361293,3.1724024,<function cos at 0x7f9665f26b90>,200,90,1.0425389
135,5.707588,3.1542013,<function cos at 0x7f9665f26b90>,200,90,1.0425389
136,5.6793904,3.1362474,<function cos at 0x7f9665f26b90>,200,90,1.0425389
137,5.6515346,3.1185358,<function cos at 0x7f9665f26b90>,200,90,1.0425389
138,5.6240125,3.1010613,<function cos at 0x7f9665f26b90>,200,90,1.0425389
139,5.596816,3.083819,<function cos at 0x7f9665f26b90>,200,90,1.0425389
140,5.5699396,3.0668054,<function cos at 0x7f9665f26b90>,200,90,1.0425389
141,5.5433817,3.050013,<function cos at 0x7f9665f26b90>,200,90,1.0425389
142,5.5171313,3.0334413,<function cos at 0x7f9665f26b90>,200,90,1.0425389
143,5.4911857,3.0170836,<function cos at 0x7f9665f26b90>,200,90,1.0425389
144,5.465539,3.000936,<function cos at 0x7f9665f26b90>,200,90,1.0425389
145,5.4401855,2.9849935,<function cos at 0x7f9665f26b90>,200,90,1.0425389
146,5.4151206,2.9692516,<function cos at 0x7f9665f26b90>,200,90,1.0425389
147,5.3903394,2.95371,<function cos at 0x7f9665f26b90>,200,90,1.0425389
