,all_loss_values,all_test_loss_values,activation,m,n,mse
0,72.24261,51.25531,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
1,61.740814,43.785233,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
2,53.62093,37.932953,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
3,47.19304,33.25109,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
4,41.999546,29.438242,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
5,37.729267,26.286127,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
6,34.165306,23.64721,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
7,31.15291,21.41446,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
8,28.579157,19.508469,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
9,26.35991,17.8691,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
10,24.431248,16.449913,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
11,22.743738,15.2144575,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
12,21.258505,14.133657,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
13,19.944527,13.184023,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
14,18.776718,12.34635,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
15,17.734533,11.604772,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
16,16.800978,10.946073,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
17,15.961849,10.359151,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
18,15.205192,9.834622,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
19,14.520851,9.364512,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
20,13.900166,8.942005,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
21,13.335685,8.561257,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
22,12.820988,8.217233,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
23,12.350504,7.905581,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
24,11.919387,7.6225333,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
25,11.523406,7.3648114,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
26,11.158854,7.1295643,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
27,10.822479,6.9142995,<function cos at 0x7fbe30f40c20>,200,300,0.86475515
