,all_loss_values,all_test_loss_values,activation,m,n,mse
0,72.24261,54.32402,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
1,62.13824,47.0124,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
2,54.39617,41.341568,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
3,48.329582,36.84794,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
4,43.47974,33.219265,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
5,39.532917,30.240147,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
6,36.2697,27.758537,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
7,33.53343,25.664787,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
8,31.210068,23.878197,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
9,29.215097,22.33825,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
10,27.484814,20.998795,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
11,25.970472,19.824095,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
12,24.634228,18.78609,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
13,23.44632,17.862476,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
14,22.383076,17.035337,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
15,21.425444,16.290146,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
16,20.557959,15.615012,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
17,19.767944,15.000151,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
18,19.044937,14.437437,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
19,18.380232,13.920094,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
20,17.766542,13.44244,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
21,17.197731,12.999678,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
22,16.668598,12.587755,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
23,16.174726,12.203217,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
24,15.7123375,11.843115,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
25,15.27818,11.504921,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
26,14.869456,11.186459,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
27,14.483744,10.885846,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
28,14.118934,10.601455,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
29,13.773191,10.3318615,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
30,13.444901,10.075825,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
31,13.132651,9.832255,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
32,12.835188,9.600193,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
33,12.551406,9.378787,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
34,12.280325,9.167284,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
35,12.021061,8.965013,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
36,11.77283,8.771369,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
37,11.534924,8.585814,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
38,11.3067045,8.407859,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
39,11.087594,8.237063,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
40,10.8770685,8.073022,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
41,10.674647,7.9153705,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
42,10.479894,7.763769,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
43,10.292405,7.617914,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
44,10.111809,7.477517,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
45,9.937769,7.3423123,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
46,9.769962,7.212058,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
47,9.608097,7.086524,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
48,9.451901,6.9654984,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
49,9.301114,6.8487816,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
50,9.1554985,6.7361856,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
51,9.014832,6.6275353,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
52,8.878901,6.522665,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
53,8.747504,6.421418,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
54,8.620459,6.3236446,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
55,8.497583,6.229207,<function cos at 0x7fd474eb6cb0>,200,300,1.0569645
