,all_loss_values,all_test_loss_values,activation,m,n,mse
0,72.24261,50.551,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
1,59.88989,42.848583,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
2,50.906715,37.029724,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
3,44.16354,32.513966,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
4,38.95194,28.923841,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
5,34.818108,26.00849,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
6,31.464527,23.59732,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
7,28.691296,21.57164,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
8,26.360632,19.84691,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
9,24.375132,18.361593,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
10,22.664219,17.069921,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
11,21.175558,15.937195,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
12,19.86949,14.936635,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
13,18.715395,14.047228,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
14,17.689203,13.252249,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
15,16.771719,12.538206,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
16,15.947429,11.894084,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
17,15.203631,11.310797,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
18,14.529824,10.780772,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
19,13.917254,10.297638,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
20,13.358539,9.856001,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
21,12.8474245,9.451249,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
22,12.378564,9.079418,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
23,11.947359,8.737076,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
24,11.549837,8.421238,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
25,11.182542,8.129292,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
26,10.842449,7.85894,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
27,10.526908,7.6081567,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
28,10.233581,7.375143,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
29,9.9604,7.1583023,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
30,9.705529,6.9562063,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
31,9.467332,6.767578,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
32,9.244343,6.5912724,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
33,9.035258,6.4262557,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
34,8.8389,6.271599,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
35,8.65421,6.126462,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
36,8.480234,5.9900837,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
37,8.316113,5.8617735,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
38,8.161066,5.740906,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
39,8.014383,5.6269083,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
40,7.875423,5.5192633,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
41,7.743605,5.4174957,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
42,7.6183934,5.321173,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
43,7.499308,5.2299004,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
44,7.3859043,5.1433144,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
45,7.2777777,5.061084,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
46,7.1745596,4.982904,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
47,7.0759106,4.908496,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
48,6.981521,4.8376026,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
49,6.891105,4.769987,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
50,6.8044033,4.705433,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
51,6.7211733,4.6437397,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
52,6.6411943,4.584722,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
53,6.564263,4.5282097,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
54,6.49019,4.474045,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
55,6.4188023,4.422083,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
56,6.3499393,4.372188,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
57,6.283453,4.324236,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
58,6.2192063,4.2781105,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
59,6.157072,4.2337055,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
60,6.096933,4.190921,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
61,6.038677,4.149664,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
62,5.9822063,4.1098495,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
63,5.9274235,4.071397,<function cos at 0x7fb5096b6c20>,200,300,0.83502614
